year,reg,sex,x,mx
2003,1186,M,5,0.000685
2003,1186,M,10,0.000698
2003,1186,M,15,0.001953
2003,1186,M,20,0.004614
2003,1186,M,25,0.007977
2003,1186,M,30,0.011138
2003,1186,M,35,0.016238
2003,1186,M,40,0.024165
2003,1186,M,45,0.031946
2003,1186,M,50,0.042255
2003,1186,M,55,0.051729
2003,1186,M,60,0.067011
2003,1186,M,65,0.080206
2003,1186,M,70,0.105026
2003,1186,M,75,0.121753
2003,1186,M,80,0.176391
2003,1186,M,85,0.330962
2003,1186,F,0,0.007227
2003,1186,F,1,0.000329
2003,1186,F,5,0.000394
2003,1186,F,10,0.000302
2003,1186,F,15,0.00073
2003,1186,F,20,0.000812
2003,1186,F,25,0.001671
2003,1186,F,30,0.002988
2003,1186,F,35,0.004051
2003,1186,F,40,0.006192
2003,1186,F,45,0.010117
2003,1186,F,50,0.013337
2003,1186,F,55,0.016646
2003,1186,F,60,0.021507
2003,1186,F,65,0.031069
2003,1186,F,70,0.052367
2003,1186,F,75,0.081731
2003,1186,F,80,0.133225
2003,1186,F,85,0.254471
2003,1187,M,0,0.011063
2003,1187,M,1,0.000857
2003,1187,M,5,0.000474
2003,1187,M,10,0.000636
2003,1187,M,15,0.002128
2003,1187,M,20,0.00486
2003,1187,M,25,0.006113
2003,1187,M,30,0.007839
2003,1187,M,35,0.013643
2003,1187,M,40,0.019185
2003,1187,M,45,0.026797
2003,1187,M,50,0.035928
2003,1187,M,55,0.047653
2003,1187,M,60,0.064955
2003,1187,M,65,0.084427
2003,1187,M,70,0.10851
2003,1187,M,75,0.138133
2003,1187,M,80,0.187097
2003,1187,M,85,0.245353
2003,1187,F,0,0.008554
2003,1187,F,1,0.000944
2003,1187,F,5,0.000239
2003,1187,F,10,0.000316
2003,1187,F,15,0.000776
2003,1187,F,20,0.001009
2003,1187,F,25,0.002089
2003,1187,F,30,0.002812
2003,1187,F,35,0.004473
2003,1187,F,40,0.006242
2003,1187,F,45,0.008027
2003,1187,F,50,0.012353
2003,1187,F,55,0.016577
2003,1187,F,60,0.02529
2003,1187,F,65,0.034054
2003,1187,F,70,0.052256
2003,1187,F,75,0.080617
2003,1187,F,80,0.124064
2003,1187,F,85,0.248831
2003,111,M,0,0.033475
2003,111,M,1,0.000852
2003,111,M,5,0
2003,111,M,10,0.001057
2003,111,M,15,0.00687
2003,111,M,20,0.008389
2003,111,M,25,0.009218
2003,111,M,30,0.014147
2003,111,M,35,0.01795
2003,111,M,40,0.017587
2003,111,M,45,0.021612
2003,111,M,50,0.030798
2003,111,M,55,0.035951
2003,111,M,60,0.034545
2003,111,M,65,0.098459
2003,111,M,70,0.155492
2003,111,M,75,0.155864
2003,111,M,80,0.305177
2003,111,M,85,0.154265
2003,111,F,0,0.02847
2003,111,F,1,0
2003,111,F,5,0.000742
2003,111,F,10,0.000547
2003,111,F,15,0
2003,111,F,20,0.001842
2003,111,F,25,0.002488
2003,111,F,30,0.002097
2003,111,F,35,0.005411
2003,111,F,40,0.005432
2003,111,F,45,0.00659
